,C00,C11,C22,C33,C44,C55,C01,C02,C12
# Shape0.0,0.0005799615287405181,-0.01690012474019995,-0.007733893363931894,0.019722882409833015,0.027915775134717005,0.03394714387767505,0.00797643968796204,0.006790725587246147,0.007475979597818234
# Shape1.0,0.0032605052214525975,0.008591348727078639,-0.00779090662073079,0.0012435062059426138,-0.0028929981293879855,0.0009210602309847604,-0.0029640344630013655,0.003101693315308164,0.002318611323233938
# Shape2.0,-0.0038404667502149326,0.008308776013220817,0.015524799984522067,-0.02096638861599047,-0.025022777005574523,-0.03486820410861176,-0.0050124052247368595,-0.0098924189024316,-0.009794590921005117
bx,-0.04652546255867849,-0.04773158723071067,-0.040013206828145687,-0.1200056674329627,-0.11741718202163616,-0.09666995504758046,-0.03645936501839018,-0.04092243439292447,-0.0364112447608169
by,-0.06274682615130073,-0.0661564717960351,-0.03899537543573086,-0.1165896852470129,-0.1192901967720795,-0.09848173645981781,-0.047675207288295954,-0.04866788947654868,-0.0478716385197146
bz,-0.06701650489703803,-0.07104039840608546,-0.05131598688494513,-0.12377050858188977,-0.12182918241283147,-0.10694428064450098,-0.0404680361071966,-0.04345670207651607,-0.04091316450912059
eig_0,-0.4505579581759695,-0.4293623047439624,-0.3899136475625784,0.20617641281129212,0.21160052587858022,0.1792117435533434,0.009597635757327007,0.024631108626443483,0.01937054733441021
eig_1,0.3198242435805725,0.301230904659625,0.26835979864509696,-0.34075130650772995,-0.3662133793070037,-0.2466914957165688,-0.2038683985763601,-0.22722594732447987,-0.21929553111739436
eig_2,0.31715326427579393,0.30123537931602834,0.23182232610714076,-0.07303425143660469,-0.05351748343227851,-0.0334164393344312,0.291427370340608,0.3047373093285643,0.2993937192615851
eig_3,-0.0029907557401785143,0.03318135478690104,0.0015215079093393417,-0.07435393590619829,-0.05009852955386064,0.047847627287509444,-0.002162448694250106,-0.038424512598509396,-0.038838649080107826
eig_4,-0.5340707536228995,-0.57056501691586,-0.5793657402098544,0.30062792467436616,0.272127234386283,-0.0811295091227101,-0.2808634448982892,-0.24203294744969245,-0.24933752545902887
eig_5,0.033830233830296846,0.051609265043491684,0.1662974607873158,0.29557138754070444,0.3074399736675886,0.23722006319090033,0.4012776467013761,0.43363571729099765,0.4214024588829913
eig_6,0.10145575225721282,0.10331291361990488,0.17629642537820261,-0.13485009707499118,-0.12264091090353438,-0.019029128149186635,-0.3992697757215853,-0.4466573951532271,-0.4271708453767016
eig_7,0.06309068887259367,0.07272071320096188,-0.01634633284772953,-0.0231854713883426,0.021524877817416098,0.03528820064874649,0.13209196308685428,0.23904170906420336,0.23912617411386644
eig_8,0.00957553621501725,-0.05075437002582739,-0.06755085291173836,-0.058808977647440655,-0.097694253719727,0.059541976473245384,-0.15142493978050592,-0.2163701719455204,-0.19676529346689425
eig_9,-0.0512389953592286,0.038058910570917814,0.027852229226731973,-0.018881331354923037,-0.0431630539084458,-0.09061383702721787,0.08851888540246616,-0.017820946383094144,-0.03367659168922037
eig_10,0.1591797085335247,0.07095991353524872,0.1985193023481458,-0.01877832297558471,-0.017482390581264884,0.021353651641763144,0.4466118328491052,0.5156570736835746,0.518716304730083
eig_11,-0.007098370408174154,0.10190806347506326,0.04865689703977666,0.018092053699275523,0.04592330413976742,0.06603749813354913,-0.03466683352992604,-0.04220837521087531,-0.06686933790873763
eig_12,0.16516176117894893,0.16061102421139037,0.07499140932269108,-0.14388764288238037,-0.1833560228626101,-0.1637432699587604,-0.4020457296126465,-0.4333000681339508,-0.4160885370547988
eig_13,0.40275358461065763,0.3416096725494424,0.36705363310459244,-0.2940986600497087,-0.3076559322386867,-0.2571034779222381,0.3267955454715542,0.3148889807390629,0.34477677898551573
