,C00,C11,C22,C33,C44,C55,C01,C02,C12
# Shape0.0,0.052368473807177615,0.049369570818325305,0.05101599716131031,0.05800733524568994,0.06451627286816833,0.06247142784922387,0.04011383613040811,0.03401347956988156,0.03454056834925235
# Shape1.0,0.009728755938683041,0.006305168833401592,0.0010170714709469807,0.025466539241357757,0.025287656186913383,0.01919936441402839,-0.01253797694341756,-0.007453548970555923,-0.008060296310496717
# Shape2.0,-0.06209722974596319,-0.055674739648083074,-0.05203306862140473,-0.08347387446812052,-0.0898039290385754,-0.08167079223919206,-0.027575859189582268,-0.02655993060393454,-0.02648027204123602
Density,0.09280246068442298,0.09977648527950164,0.10161529751599492,0.12266318419252274,0.1255680086730626,0.1271206111963403,0.04803824882607625,0.047141804152266056,0.05087304026770703
Lx,0.12673122227219769,0.12983267180026228,0.11799196071720718,0.15006823461216506,0.1531234642607856,0.14939137665152535,0.06510158081941271,0.06335158164967533,0.0642733791448989
Ly,0.11802813539936574,0.11712181231411067,0.12219118084406087,0.14791596053942974,0.14678986867983002,0.1409839792409162,0.06820579495546902,0.06616095784777842,0.06512233816822889
Lz,0.11280923759311325,0.12339689095017206,0.12150309059196604,0.15168066494361132,0.1521277314313834,0.1444384159825401,0.06263703309248306,0.06016334567838855,0.05701857070695425
(omega^2)_0,-0.33249398290028753,-0.36832528593799146,-0.20089524607206818,0.3077272640363549,0.2951479296358819,0.31354273817173967,0.13200851260848906,0.13994089469358295,0.1378786667306722
(omega^2)_1,0.13782238806857303,0.12600991601232794,-0.0724922145850235,-0.8461672726101738,-0.7904530866169988,-0.6883858361551055,-0.30130876040515225,-0.3792445032259629,-0.3369747848028216
(omega^2)_2,0.3561701672338018,0.3654420802828503,0.20943794565975335,0.09144173825638728,0.10685160427173208,0.026199010557922994,0.2388509481789844,0.2500225836043869,0.22591945226744223
(omega^2)_3,0.17585829500746533,0.28471579346796994,0.2817706810524768,0.3672102977318785,0.42324064732936173,0.4939136126080286,0.008912692006142434,-0.008862882617072229,-0.002029623698054414
(omega^2)_4,-0.5815799245118022,-0.6019294771303607,-0.39504102605523195,0.3099813540021289,0.247852062556912,0.07533111880974637,-0.22124599563336467,-0.1336352961780067,-0.1368261783987227
(omega^2)_5,0.26518946285303696,0.19641084515199522,0.22946864870665096,0.6589800910296061,0.5397378972264808,0.4188381679334109,0.4557271832532013,0.591855786511336,0.5721575289154033
(omega^2)_6,-0.1306543956663371,-0.06872027362343992,0.1221173897546363,-0.3338641560553416,-0.2971915106785293,-0.2208305094548491,-0.5454325845765253,-0.6860896388351605,-0.6826965755808505
(omega^2)_7,0.5123801618086266,0.49050510899906813,0.02771234833736451,-0.13305957176154115,-0.11318811603488457,-0.14627746390247984,0.10563648361364326,0.25373307015276936,0.2572803848086165
(omega^2)_8,-0.0944984651365422,-0.0933965510617526,-0.05527552118891388,-0.2936738253071197,-0.2871607589779744,0.030662218332369318,0.2542859228697903,0.154109341820932,0.16367016843431734
(omega^2)_9,-0.32102944925848653,-0.2926002766671735,-0.2681008931818311,-0.05112971969723071,-0.004715263059335173,-0.1418236843125713,-0.3551493189458006,-0.4743424714404421,-0.4776363654711685
(omega^2)_10,0.7074228393823647,0.7099258025858891,0.7595304307709901,0.8622542985449037,0.9002677303537381,0.8006272468503711,0.6813693943903756,0.8007965943383843,0.8057240715115231
(omega^2)_11,-0.5156653364486217,-0.660253465514407,-0.13034960972158857,-0.3843317353146568,-0.5201893612337191,-0.46406857473373375,0.05685082336199565,-0.0970550588239435,-0.1531601681617456
(omega^2)_12,0.45060477614679073,0.7783948750100704,-0.09130055593066377,0.01799283921405867,0.046223082097860885,0.04061345057979404,-0.42831675965758775,-0.456242312759222,-0.4301991570420298
