# Shape,Cry_st,bx,by,bz,C00,C01,C02,C03,C04,C05,C11,C12,C13,C14,C15,C22,C23,C24,C25,C33,C34,C35,C44,C45,C55,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14,eig_15,eig_16,eig_17,eig_18,eig_19,eig_20,eig_21,eig_22,eig_23
0.000000000000000000e+00,0.000000000000000000e+00,5.458477406749676630e-01,2.017612722686507265e+00,9.080100912774450306e-01,9.906675859242020099e-01,3.788702786228720365e-02,7.107870273279026652e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.065393906136481661e+00,7.361706595607281356e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.881949555361574600e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.045424616113674099e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.242200809805681927e-01,0.000000000000000000e+00,1.208901452504568264e-01,2.734401500312623190e-01,6.844346480511155351e-01,1.130768857130165950e+00,1.299462233508771547e+00,1.720497799424815843e+00,2.109091695662699273e+00,2.513669683605129546e+00,3.500635125300232797e+00,3.770409657136207127e+00,3.776846236606771878e+00,3.888981116877662014e+00,4.035636472061794322e+00,4.164861166343990284e+00,4.292288241418147798e+00,4.518313899857225202e+00,4.598079384214728726e+00,5.209074666044126722e+00,5.804660012098147526e+00,6.009807312071225205e+00,6.420555389575199001e+00,6.734622007973768198e+00,7.368101023550473805e+00,7.385343534657895503e+00,7.538183459966107947e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.221782400897250431e-01,1.427358894175333237e+00,1.659475974947898003e+00,3.668000483509024634e-01,9.214787804976268260e-02,2.644810877955237061e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.258709918335643163e+00,3.979917469468374769e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.556884111745001409e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.218393982880650650e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.392263822826887987e-01,0.000000000000000000e+00,1.747350238888339680e-01,1.867540313757941606e-01,9.448256268704595673e-01,1.256496588957610960e+00,1.509550148511030754e+00,1.863669209964426532e+00,2.098154916142920712e+00,2.448041422801153111e+00,2.728047321796385205e+00,3.151627628493915090e+00,3.186320800881538684e+00,3.688966043044750620e+00,4.721694268573076947e+00,5.029429132354934495e+00,5.166569787574960770e+00,5.935690014640245593e+00,6.160184998010187485e+00,6.239114873588412991e+00,6.530208739482065816e+00,7.358348849551807902e+00,7.699661911446751716e+00,8.090468504235214908e+00,8.330969375783810804e+00,8.603422264752007109e+00,8.794399148529498333e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.605827520678558828e+00,9.057584375804832444e-01,6.875253487292051213e-01,5.578203959082221886e+00,2.418870216619772862e-01,1.861462980961041680e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.907391626828236930e+00,5.533064130794668189e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.476404613244334030e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.943462939819395330e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.931050354354094445e-01,0.000000000000000000e+00,4.142746997580409873e-02,1.882439447731370230e-01,5.271094781178057298e-01,5.827413213520232782e-01,1.404492074158338655e+00,1.941200155013099504e+00,1.999026178498233053e+00,2.453883831604507737e+00,3.069141111657462950e+00,3.622356077184371248e+00,3.818426276171346778e+00,4.414425698466729386e+00,4.523890443970699948e+00,5.109672986153758423e+00,5.162021360565701045e+00,5.479737986996878085e+00,5.625287349459034303e+00,5.702850424176882704e+00,6.816166462240477841e+00,7.021207901048178712e+00,7.166330430950377028e+00,7.740008026544202835e+00,7.910108243940535466e+00,7.916653545956886084e+00,9.110685909380551450e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.394354342983952000e+00,7.476814423066947546e-01,9.592023737324624211e-01,3.230044764259436096e+00,1.076105131221741229e-01,1.716998909390584360e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.022343156712323342e+00,6.815578046701689652e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.730632398912889336e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.445170156174985898e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.862108832183058116e-01,0.000000000000000000e+00,1.580485313321546292e-01,6.739776329186027981e-01,1.631099973236457501e+00,1.954611269489340497e+00,2.357166493398669793e+00,2.434739907171536100e+00,2.781531600767360057e+00,2.935619366958618581e+00,2.992505578132941491e+00,3.164349513251516921e+00,3.654058433962055208e+00,4.553373469812926011e+00,4.761544785029991900e+00,5.594450234171249647e+00,5.790713391308932145e+00,6.217443598222634371e+00,6.701480254731714048e+00,6.983713451392849159e+00,7.092305444301378436e+00,7.589160497193847554e+00,7.719175840220136031e+00,8.167787092373213653e+00,8.575515530837970246e+00,8.748820048862027576e+00,9.581225713375470576e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.002883301014486417e+00,1.265377539699062082e+00,7.880059169899624738e-01,2.737658871728645416e+00,2.916623673766838842e-01,2.346133090926626197e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.385813091023272658e+00,1.209953094511847793e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.355459186297755414e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.564311357120986345e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.650866157229848030e-01,0.000000000000000000e+00,3.999442483269222137e-03,3.271084710444198407e-02,5.297246400344102907e-02,9.652077655318579141e-02,1.547869153121121666e-01,2.170255780470712603e-01,3.538479378129012476e-01,3.920685264650484725e-01,6.152569925338587931e-01,6.256443880965522064e-01,8.853473927207730076e-01,9.784482020763277665e-01,1.211463811729593942e+00,1.410779884954208807e+00,1.584033573072043843e+00,1.660937943980369536e+00,1.922894131698799525e+00,2.173591518013533896e+00,2.173649598328419419e+00,2.517375702119283964e+00,2.522969589801888901e+00,2.594193881788857681e+00,2.602834350111150385e+00,2.774670147948401944e+00,2.908094101964868727e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.868440451973219396e+00,7.299654993106259315e-01,3.541292092152319992e-01,3.246865962312566189e+00,1.670669056072255354e-01,2.893567201828795010e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.467453651536485104e+00,7.247132569244363332e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.444528097298469760e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.865817461376509945e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.875699271059079187e-01,0.000000000000000000e+00,1.276330214772425919e-01,4.990561186261133209e-02,6.271553116856834476e-02,1.477842324492955051e-01,2.266959104365224298e-01,3.345262268609837664e-01,4.605386883844166390e-01,5.923261780764151885e-01,8.909634346074832845e-01,9.920819585658987583e-01,1.188696259880377193e+00,1.569755517785182075e+00,1.720365405213899912e+00,2.023807919543503697e+00,2.137845926248895356e+00,2.463853518031970058e+00,2.487843182080321291e+00,2.813217987824524702e+00,3.121003671110512911e+00,3.818227915431169794e+00,4.198175495687786807e+00,4.249689273890311370e+00,4.464832375835351641e+00,5.379815480730480992e+00,5.857690309276385676e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.071624116839234198e-01,1.673420218271900684e+00,1.467666258901385357e+00,1.231849819657505840e+00,2.275429150155346969e-01,2.795633120099499935e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.828558110660469360e+00,1.430751843358060993e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.271412697634832334e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.363234676999160344e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.982316059292644483e-01,0.000000000000000000e+00,1.535241030924498484e-01,8.308221741221957779e-02,6.229994993312568674e-01,1.204943410272607984e+00,1.270517649648519543e+00,1.334018115089263601e+00,1.593948568225244999e+00,2.030593700047223837e+00,2.083117215688589319e+00,2.762874895959229526e+00,3.257911573708979880e+00,3.334635917078657030e+00,3.377655547648396706e+00,3.828551777097070730e+00,5.085924633026806418e+00,5.202082061516723144e+00,5.244304529658398550e+00,5.356700168288027086e+00,6.532101993487679614e+00,6.663465538791651710e+00,6.968813962512840021e+00,7.014814742401808800e+00,8.088132824968846890e+00,8.225125691448207377e+00,8.598055443241955587e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.041644908608260534e-01,1.990594148279284381e+00,2.460577604960245690e+00,2.385944681385757882e+00,5.296007655055148811e-02,2.870795168328615921e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.141304464688476017e+00,2.219097063192768671e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.934441090917111694e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.771735149487567162e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.903114652957256792e-01,0.000000000000000000e+00,2.320658020074244376e-01,1.258140265219022738e-02,8.210002357182666355e-02,1.265248089385871688e-01,4.306279200866007240e-01,4.606606173165477824e-01,5.109978863767301593e-01,5.830666194444581452e-01,5.892328303094439557e-01,6.420264416333024693e-01,8.808143750192595212e-01,1.172472729149519832e+00,1.518636642491222100e+00,1.610813601603593215e+00,1.616390633462123194e+00,2.029453819858674013e+00,2.075439375996486202e+00,2.265935146474425732e+00,2.294719282306885599e+00,2.296447900208480331e+00,2.873358766274177967e+00,3.133143199804671930e+00,3.205016391778463092e+00,3.328336659167998146e+00,3.390202368238252273e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.231461671144109093e+00,7.842458357077758402e-01,5.714238292193446478e-01,2.166994547901926360e+00,2.405632525908732444e-01,2.094703466660907676e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.685134877026253974e+00,4.423788148573581935e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.159880989589279654e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.564921935214784510e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.119648642009386186e-02,0.000000000000000000e+00,2.951407729946911584e-01,1.737048342710608706e-01,2.680662801349874558e-01,6.347408112667004554e-01,7.760603963770393854e-01,9.287226591685747712e-01,1.374858721357791413e+00,1.520254672875548829e+00,1.762380083908380968e+00,2.417350433965267165e+00,2.660717187822167595e+00,3.004207363747001924e+00,3.290660497445426991e+00,4.187959180982709917e+00,4.353564152433422763e+00,4.769379595009846540e+00,5.228975556023867988e+00,5.512439288491762568e+00,5.612021676576864238e+00,5.888019049470303301e+00,5.996393519548106177e+00,6.004080525059289464e+00,6.565804723951575106e+00,7.455813825099401271e+00,7.492669143802896059e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.236205754657319744e+00,1.130049769450949260e+00,7.158329216756115221e-01,2.902142190518464115e+00,1.504039880115246863e-01,2.925313961541034513e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.109238899125310596e+00,1.954749209431441148e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.271103353148810733e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.582605926260765294e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.841098345489950716e-01,0.000000000000000000e+00,5.985099720825631797e-02,2.981812779267290492e-01,6.984701333856473404e-01,1.413072476792923915e+00,1.752839421101499928e+00,2.677047892937669094e+00,2.783670132181901735e+00,3.208720889144393240e+00,3.274556508947054301e+00,3.425124478266544426e+00,3.513073129916323811e+00,3.702019465353027172e+00,4.125640538457687967e+00,4.202933402590129042e+00,4.994142196758187602e+00,5.476743085919817844e+00,5.662141494513769580e+00,5.960243871310394681e+00,6.465980689533195935e+00,6.491261859588859373e+00,7.255863416179343162e+00,7.584724461871108048e+00,8.474713688042339044e+00,9.456476724117399257e+00,9.724267822203389144e+00
