# Shape,Cry_st,Density,Lx,Ly,Lz,C00,C01,C02,C03,C04,C05,C11,C12,C13,C14,C15,C22,C23,C24,C25,C33,C34,C35,C44,C45,C55,(omega^2)_0,(omega^2)_1,(omega^2)_2,(omega^2)_3,(omega^2)_4,(omega^2)_5,(omega^2)_6,(omega^2)_7,(omega^2)_8,(omega^2)_9,(omega^2)_10,(omega^2)_11,(omega^2)_12,(omega^2)_13,(omega^2)_14,(omega^2)_15,(omega^2)_16,(omega^2)_17,(omega^2)_18,(omega^2)_19,(omega^2)_20,(omega^2)_21,(omega^2)_22,(omega^2)_23
0.000000000000000000e+00,0.000000000000000000e+00,9.351515814440926277e+00,1.222738200806587350e-01,4.519597621511811658e-01,2.034007915742068739e-01,9.906675859242020099e-01,3.788702786228720365e-02,7.107870273279026652e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.065393906136481661e+00,7.361706595607281356e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.881949555361574600e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.045424616113674099e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.242200809805681927e-01,0.000000000000000000e+00,1.208901452504568264e-01,5.827151961234277033e-01,1.458565869449591990e+00,2.409727306972056393e+00,2.769221674898433516e+00,3.666470386690231731e+00,4.494584211352544045e+00,5.356760967634097703e+00,7.460035709323108222e+00,8.034939282225378676e+00,8.048655968191669174e+00,8.287621236247067813e+00,8.600151433618968611e+00,8.875535985097712910e+00,9.147089716452757813e+00,9.628762162401882208e+00,9.798746562483394484e+00,1.110080931896228407e+01,1.237003269999988753e+01,1.280721227704567511e+01,1.368253781542284564e+01,1.435183013081625170e+01,1.570180689450531553e+01,1.573855158339051741e+01,1.606426142169071980e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.109660902343534872e+00,1.051756751153569147e-01,3.555925461598740678e-01,4.134190003865814145e-01,3.668000483509024634e-01,9.214787804976268260e-02,2.644810877955237061e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.258709918335643163e+00,3.979917469468374769e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.556884111745001409e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.218393982880650650e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.392263822826887987e-01,0.000000000000000000e+00,1.747350238888339680e-01,3.303154197647294454e-01,1.671131119607202509e+00,2.222389498941112596e+00,2.669970159615840721e+00,3.296307302482098578e+00,3.711046646498302071e+00,4.329897588913934392e+00,4.825149366783713312e+00,5.574343939881440058e+00,5.635706416052721934e+00,6.524744649577062461e+00,8.351350773178461750e+00,8.895647300313678230e+00,9.138210594728775504e+00,1.049856822010929136e+01,1.089563678200663688e+01,1.103524155943249418e+01,1.155010483598536908e+01,1.301485205491555952e+01,1.361853898194179102e+01,1.430976606171489429e+01,1.473514454352931402e+01,1.521703716840417187e+01,1.555482162781101962e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.496801863339262795e+00,4.332113438182895737e-01,2.443505450405964452e-01,1.854768188966273157e-01,5.578203959082221886e+00,2.418870216619772862e-01,1.861462980961041680e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.907391626828236930e+00,5.533064130794668189e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.476404613244334030e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.943462939819395330e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.931050354354094445e-01,0.000000000000000000e+00,4.142746997580409873e-02,3.981250880643734669e-01,1.114806150328636392e+00,1.232464290745841184e+00,2.970419746483114576e+00,4.105526388094753898e+00,4.227825093214732100e+00,5.189822800062256825e+00,6.491056468420255854e+00,7.661074219240147087e+00,8.075751383664021787e+00,9.336255793373597456e+00,9.567767417804512675e+00,1.080666371523528646e+01,1.091737750843537214e+01,1.158932985213423095e+01,1.189715836060388909e+01,1.206119979093941375e+01,1.441579901181591872e+01,1.484944983113199868e+01,1.515637561335074324e+01,1.636967064677984851e+01,1.672942279770453666e+01,1.674326573403275731e+01,1.926857532852015353e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.679623847145461646e+00,2.757517147308652938e-01,1.478637340830447067e-01,1.896947505930255684e-01,3.230044764259436096e+00,1.076105131221741229e-01,1.716998909390584360e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.022343156712323342e+00,6.815578046701689652e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.730632398912889336e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.445170156174985898e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.862108832183058116e-01,0.000000000000000000e+00,1.580485313321546292e-01,4.683299403578812914e+00,1.133409946967525528e+01,1.358209730638553658e+01,1.637935132189050691e+01,1.691838927316909746e+01,1.932815667858024611e+01,2.039887343275102793e+01,2.079416126702362533e+01,2.198826112960268020e+01,2.539112405008163265e+01,3.164023583854138622e+01,3.308676543949632531e+01,3.887441387570473239e+01,4.023819671043629853e+01,4.320343654320886628e+01,4.656688434031555346e+01,4.852805114620696969e+01,4.928262932622703829e+01,5.273514890436182867e+01,5.363859250354229147e+01,5.675587816263625029e+01,5.958907953226498222e+01,6.079332861451546677e+01,6.657750417427361356e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.202123731361869119e+00,2.266173201333309961e-01,2.859320388657732859e-01,1.780623817116423480e-01,2.737658871728645416e+00,2.916623673766838842e-01,2.346133090926626197e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.385813091023272658e+00,1.209953094511847793e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.355459186297755414e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.564311357120986345e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.650866157229848030e-01,0.000000000000000000e+00,3.999442483269222137e-03,7.810522279330651962e-02,1.264848351278963778e-01,2.304671821184906266e-01,3.695919725753438745e-01,5.182021447225311217e-01,8.448993060187577342e-01,9.361603969478856646e-01,1.469077958255356364e+00,1.493880429499098605e+00,2.113985465956909948e+00,2.336286632103270478e+00,2.892668924746956360e+00,3.368585254757912484e+00,3.782271206301734079e+00,3.965899377238285339e+00,4.591384444577149893e+00,5.189986344102796245e+00,5.190125025192880770e+00,6.010855953705429577e+00,6.024212741511491664e+00,6.194278321781416352e+00,6.214909572974526952e+00,6.625209961438682349e+00,6.943792590043395663e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.026843177524475514e+00,4.102593033963257141e-01,7.741495338199448628e-02,3.755642732223671981e-02,3.246865962312566189e+00,1.670669056072255354e-01,2.893567201828795010e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.467453651536485104e+00,7.247132569244363332e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.444528097298469760e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.865817461376509945e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.875699271059079187e-01,0.000000000000000000e+00,1.276330214772425919e-01,6.314574316617540539e-01,7.935417833575610924e-01,1.869919000681556032e+00,2.868391189482936809e+00,4.232771909873963345e+00,5.827211940586752625e+00,7.494723602304406818e+00,1.127339113025229977e+01,1.255284730860737952e+01,1.504061485823289779e+01,1.986217081811030027e+01,2.176784292890260630e+01,2.560731154984760138e+01,2.705023838990427265e+01,3.117522371572895423e+01,3.147876576402812177e+01,3.559574442623354429e+01,3.949016731408587333e+01,4.831216977391088108e+01,5.311965963808560076e+01,5.377146525402535104e+01,5.649367835839444041e+01,6.807099120692873839e+01,7.411755792812489574e+01
0.000000000000000000e+00,0.000000000000000000e+00,3.956629499217390489e+00,1.167054875691432986e-01,4.796545969795756870e-01,4.206790740468289713e-01,1.231849819657505840e+00,2.275429150155346969e-01,2.795633120099499935e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.828558110660469360e+00,1.430751843358060993e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.271412697634832334e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.363234676999160344e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.982316059292644483e-01,0.000000000000000000e+00,1.535241030924498484e-01,2.555850788488437386e-01,1.916527761522531570e+00,3.706756585406496551e+00,3.908482028748844428e+00,4.103827939969357352e+00,4.903449657217897162e+00,6.246697152550999554e+00,6.408274771742497933e+00,8.499407215260140092e+00,1.002228409862472169e+01,1.025831050668831601e+01,1.039065140963583289e+01,1.177773942853764844e+01,1.564578424648844646e+01,1.600311829996193680e+01,1.613300689929529597e+01,1.647876859242500913e+01,2.009464666513209963e+01,2.049875915911858471e+01,2.143809977115274990e+01,2.157961155696241917e+01,2.488145032953277180e+01,2.530288025366605353e+01,2.645012069796437970e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.817879621383362121e+00,3.800379710726647237e-02,3.705352278212115102e-01,4.580193728660544306e-01,2.385944681385757882e+00,5.296007655055148811e-02,2.870795168328615921e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.141304464688476017e+00,2.219097063192768671e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.934441090917111694e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.771735149487567162e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.903114652957256792e-01,0.000000000000000000e+00,2.320658020074244376e-01,4.117857695973946297e-02,2.687110676376254781e-01,4.141121404525546779e-01,1.409433068673916489e+00,1.507729241873383863e+00,1.672481707495886427e+00,1.908360643498600684e+00,1.928542478201235921e+00,2.101334482954666516e+00,2.882880671708033749e+00,3.837470260287261237e+00,4.970455010898066739e+00,5.272147605090873768e+00,5.290401073479266358e+00,6.642345262890016144e+00,6.792854694533368765e+00,7.416341992570453456e+00,7.510551659438575278e+00,7.516209377203646014e+00,9.404422413057853092e+00,1.025468955614268829e+01,1.048992849164561214e+01,1.089355225775340763e+01,1.109603698322833765e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.377299540149651946e+00,4.633738846946858225e-01,1.628524675762060003e-01,1.186589413461543729e-01,2.166994547901926360e+00,2.405632525908732444e-01,2.094703466660907676e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.685134877026253974e+00,4.423788148573581935e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.159880989589279654e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.564921935214784510e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.119648642009386186e-02,0.000000000000000000e+00,2.951407729946911584e-01,4.295857551078255399e-01,6.629490529378988528e-01,1.569764087741263747e+00,1.919258567477016619e+00,2.296804383705902453e+00,3.400134051879195596e+00,3.759709707240114884e+00,4.358504944953660143e+00,5.978298277609916056e+00,6.580163454031055181e+00,7.429641749877038848e+00,8.138062941833133834e+00,1.035715335542008653e+01,1.076670751094376222e+01,1.179505189545262134e+01,1.293166895499065916e+01,1.363269712193206828e+01,1.387897222164646927e+01,1.456153549249469314e+01,1.482955410440122179e+01,1.484856467529809620e+01,1.623775292187807651e+01,1.843881562329261214e+01,1.852996173319462159e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.586990867275678063e+00,4.991305108319670225e-01,4.562689637761419559e-01,2.890247440769522225e-01,2.902142190518464115e+00,1.504039880115246863e-01,2.925313961541034513e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.109238899125310596e+00,1.954749209431441148e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.271103353148810733e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.582605926260765294e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.841098345489950716e-01,0.000000000000000000e+00,5.985099720825631797e-02,3.273826770766742333e-01,7.668725002315015526e-01,1.551457065220274378e+00,1.924497963640583453e+00,2.939215741330893028e+00,3.056279677612848023e+00,3.522956377355348945e+00,3.595239391258366446e+00,3.760552737624552222e+00,3.857114350152967663e+00,4.064564521234115269e+00,4.529671525749590977e+00,4.614533811385177486e+00,5.483227027010190824e+00,6.013089841174336314e+00,6.216644630909182290e+00,6.543940679934030946e+00,7.099205163999676493e+00,7.126962161990970657e+00,7.966442448057402537e+00,8.327509414680505984e+00,9.304656797840261007e+00,1.038256555602915121e+01,1.067658189132112234e+01
